商品名,顧客属性,問い合わせ元サイト,大区分NO,大区分名,小区分NO,小区分名,ユーザーの意図(Intent),意図要約(短),対象機能(Target Function),Webサイトのバリア(Barrier),バリア要約(短),Web自己解決可能性,推定発生ページ,発生タイミング,重要キーワード,緊急度,顧客の生の声,商品カテゴリ小カテゴリ
白紙袋（縦型）,不明,不明,3,注文について,3,注文内容の変更,希望の袋（縦型白紙袋）にしたい,縦型の白紙袋にしたい,注文内容変更,なし,なし,中,注文履歴詳細,注文後,白紙袋;縦型;希望;61-813-82-20;カード,中,61-813-82-20 の縦型の袋が希望でした,袋
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,ノベルティ商品の企画製造を売り込みたい,ノベルティ製造の提案依頼,不明,なし,なし,高,不明,不明,株式会社デイリープラネットジャパン;ノベルティ;企画;製造;中国;自社工場;検品センター;バッグ;オリジナルアクリル製品;ぬいぐるみ;フィギュア;缶バッジ,低,弊社は、ノベルティ商品の企画・製造を専門としている会社です。;ぜひ一度お話をさせていただければ幸いです。,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書のインボイス記載確認と再発行依頼,納品書の適格番号確認と再発行,納品書再発行,なし,なし,中,ヘルプページ,帳票発行時,適格請求番号;納品書;再発行;インボイス,中,適格請求番号は納品書に記載されていますでしょうか？;納品書の再発行は不可でしょうか。,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,返品した商品の返品伝票（インボイス対応）を発行してほしい,返品伝票（インボイス）発行依頼,帳票発行,なし,なし,中,不明,帳票発行時,返品;返品伝票;インボイス対応,中,この注文内の返品した商品の返品伝票(ｲﾝﾎﾞｲｽ対応)がいただきたいです。,不明
マネキン,不明,ストエキ（公式サイト）,1,商品単品の仕様について,2,陳列ディスプレイ商品について（ハンガー、マネキン、卓上ディスプレイ）,マネキンを座面高300mmのソファに座らせられるか確認したい,座面高300mmで座れるか,商品仕様確認,なし,なし,中,商品ページ,注文前,マネキン;61-780-43-1;座面高;SH300mm;ソファ;座らせる,低,座面高(SH)300mmのソファに座らせる事可能でしょうか。;ご確認お願い致します。,マネキン／トルソー（ボディ）
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書をPDFで再発行してメール送付してほしい,納品書PDFの再発行依頼,納品書の再発行,なし,なし,中,お問い合わせフォーム,帳票発行時,納品書;再発行;PDF;メール添付,中,納品書の再発行をお願いいたします。;PDFをメールに添付いただく形で問題ございません。,不明
不明,不明,不明,6,納期について,7,配送会社に関する希望（ご注文前）,同一商品を複数住所へ分納発送できるか確認したい,同一商品の複数住所発送可否,配送先変更,複数配送先への発送方法が分からない,分納・複数配送先指定手順が不明,中,配送先の登録,注文前,数点;同じ商品;別の住所;発送;可能でしょうか,低,数点同じ商品を購入し、その商品をそれぞれ、別の住所に発送していただくことは可能でしょうか？,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書を再発行してほしい,納品書の再発行依頼,帳票再発行,なし,なし,中,注文履歴詳細,帳票発行時,納品書;再発行,中,納品書の再発行をお願いいたします。,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,在庫がある分を先に分納してほしい,在庫分だけ先に発送依頼,分納・先出し発送依頼,なし,なし,低,不明,注文後,在庫がある分;先に送って,中,在庫がある分を先に送ってください。,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,発送日と到着予定日を確認したい,発送日と到着予定日の確認,納期確認,注文画面の到着予定表示が希望と合わない,注文画面の到着予定が希望日と違う,中,ご注文の確認,注文時,当日発送可能;注文画面;10/4着予定;発送日;10/3着希望;12時を過ぎて,高,注文画面にて10/4着予定と表示されていたのですが、発送日はいつになりますでしょうか？;もし明日発送いただける様でしたら10/3着希望にてお願いをしたいです。,不明
不明,事務担当,不明,9,カタログ・DMについて,1,カタログを止めてほしい,カタログ送付停止を依頼したい,カタログ送付停止の依頼,カタログ停止,なし,なし,中,不明,不明,カタログ;配送なし;届いた;止めてほしい;Nicolai Bergmann株式会社;柴田有希子;01Y-010693#,中,カタログ配送なしの設定にしているが届いたので止めてほしいです。,不明
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,図面解析AI導入の提案（売り込み）,図面解析AIの提案依頼,不明,なし,なし,低,不明,不明,図面解析AI;見積もり;積算;図面チェック;省エネ計算;齟齬検知;図面検索;デモ;https://bit.ly/3InvS0Z;https://bit.ly/488y8DI;株式会社AITech;宗雪,低,見積もり・積算業務や図面チェック業務に膨大な時間を費やしていませんか？;短時間のデモをご案内させていただけますと幸いです。,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,注文をキャンセルしたい,キャンセル手続きの依頼,キャンセル,キャンセルボタンが見当たらない,キャンセルボタンが無い,中,注文履歴詳細,注文後,キャンセル;ボタンがありませんでした;お問い合わせ,中,「こちらの商品をキャンセルしたく存じます。」;「ボタンがありませんでしたのでお問い合わせにて失礼いたします。」,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,注文をキャンセルしたい,注文キャンセルの依頼,キャンセル,なし,なし,中,注文履歴詳細,注文後,キャンセル;配送手配済み;返却;返却手続き,中,申し訳ございません、こちらの注文をキャンセルさせていただけますでしょうか？;既に配送手配済みでしたら、返却のお手続きをお願い申し上げます。,不明
スチールストレージ,不明,不明,1,商品単品の仕様について,1,大型什器商品について,スチールストレージの外形寸法の定義とゴム足の扱いを確認したい,外形寸法とゴム足有無確認,商品仕様確認,なし,なし,中,商品ページ,注文前,スチールストレージ;61-821-29;外形寸法;幅80;奥行42.5;高さ42cm;最外形;ゴム足;取り外し可能;ゴム足含む高さ,低,外形寸法「幅80×奥行42.5×高さ42cm」について確認させて頂きます。;ゴム足を取り除いた場合の最外形寸法はいくらになりますでしょうか？,スチールラック／収納ラック
不明,事務担当,不明,7,インボイスについて,2,領収書でのインボイス希望,インボイス対応の請求書/領収書を発行できるか確認したい,インボイス対応帳票の発行可否,帳票発行,情報不足（インボイス対応帳票の案内が見つからない）,インボイス対応帳票の手順が不明,中,ヘルプページ,帳票発行時,インボイス対応;請求書;領収書;発行,低,インボイス対応の請求書(領収書)の発行が可能でしょうか？,不明
不明,店舗オーナー,不明,9,カタログ・DMについて,1,カタログを止めてほしい,郵送カタログの送付停止を依頼したい,カタログ郵送の停止依頼,カタログ停止,なし,なし,低,不明,不明,カタログ;郵送;送らなくで結構;神奈川県横浜市みたけだい37-2;美容室トモカズ,低,カタログが郵送で時々届きますが、もう送らなくで結構です。,不明
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,広告代理店として交通広告の提案をしたい,新幹線駅広告の提案,不明,なし,なし,不明,不明,不明,株式会社リード;交通広告;新幹線各主要駅広告;広告枠;大学最寄り駅看板;大学内メディア;添付資料;大阪駅前第3ビル;Tel：06-6346-0530;Fax:06-6346-5134;katayama@lead-ad.co.jp;https://xfs.jp/2z0fzZi1,低,今回ご案内させていただく新幹線各主要駅広告の資料をお送りさせていただきます。;ご希望のエリアや時期、ご予算などございましたら、お申し付けください。,不明
レジ,不明,不明,5,クレーム,1,お届け商品の破損,レジの液晶部分の不良（斜め）を不良品として申告し対応してほしい,レジ液晶の不良を申告,不良品対応,なし,なし,低,不明,配送後,レジ;液晶部分;斜め;不良;画像添付;タケナカ,中,レジの液晶部分が斜めになっており不良だと思いますので画像を添付にてお送りいたします。,レジスター
不明,事務担当,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,注文済み商品の最短納品日（出荷・納品予定）の確認・確定,最短納品の回答内容を確認,納期確認,なし,なし,低,不明,注文後,最短納品;10/7(火) 出荷;10/9(木)納品;株式会社Juice;山田,中,こちらの注文につきまして、本日電話で最短納品の問い合わせをさせていただきました。;10/7(火) 出荷 10/9(木)納品 こちらにてご対応のほどよろしくお願いたします。,不明
ギフトラッピング,不明,不明,3,注文について,5,お客様都合による返品や交換,不備のあるギフトラッピング/リボンの交換を依頼したい,リボン欠品の交換依頼,返品・交換,なし,なし,低,不明,配送後,ギフトラッピング;リボンが無い;交換;注文から日数経っており,中,ギフトラッピングが1枚、リボンが無い状態でした。;交換のご対応をお願いできますでしょうか？,ラッピング用品・包装資材
不明,不明,不明,9,カタログ・DMについて,1,カタログを止めてほしい,カタログ送付の停止を依頼したい,カタログ送付の停止依頼,カタログ送付停止,なし,なし,不明,不明,不明,カタログ送付停止;石川県羽咋市東川原町;85番地7,中,カタログ送付を停止してください。,不明
不明,事務担当,不明,4,ご利用について,11,顧客登録情報の変更希望,登録内容（企業情報）を変更したいがログイン情報が不明,ログイン不明で登録変更希望,会員情報変更,ログインID/メールアドレスが分からず会員情報変更へ進めない,ログイン情報不明で変更不可,中,ログイン/マイページ,不明,ローソンスリーエフ;直営;郵送物;登録内容変更;ログイン不明;メールアドレス不明;コンビニ撤退,低,「ログインもメールアドレスも分からず。 変更はどのようにしたら良いでしょうか？」,不明
不明,不明,不明,4,ご利用について,6,支払方法の種類について,振込先（銀行口座）を確認したい,振込先口座の確認依頼,支払（振込先確認）,振込先情報の掲載場所が分からない,振込先の確認方法が不明,中,ご利用ガイド（お支払いについて）,支払時,振込先;振込;口座,低,振込先は？,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,納品書の再発行を依頼したい,納品書の再発行を依頼,納品書再発行,なし,なし,中,注文履歴詳細,帳票発行時,納品書;再発行;日宝土地建物株式会社;池田;06-6211-1225;ikeda@nippo-bldg.co.jp;13694104,中,納品書の再発行をお願いいたします。,不明
不明,不明,不明,3,注文について,6,配送先の変更,配送方法を店舗受け取りに変更したい,店舗受け取りへの変更可否確認,配送方法変更,なし,なし,中,注文履歴詳細,注文後,送料;勿体無い;店舗受け取り;変更可能,中,送料が勿体無いので 店舗受け取りに変えたい。;変更可能か、ご確認よろしくお願い致します。,不明
レジカウンター,不明,不明,6,納期について,3,納期確認（ご注文前）-いつ届くのか,大阪本店受け取り時の最短受取日を知りたい,大阪本店受取の最短日確認,納期確認,なし,なし,中,商品ページ,注文前,注文番号：61-830-2;レジカウンター;1台;大阪本店受け取り;最短;受け取れる日にち,中,大阪本店受け取りにした場合、 最短で受け取れる日にちを教えてください。,レジカウンター／レジ台
テーブル,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,テーブル2台分の納品書を再発行してほしい,テーブル2台分の納品書依頼,帳票発行,なし,なし,低,注文履歴詳細,帳票発行時,納品書;入荷時;スタッキングチェア;配送手数料;大型運賃;テーブル2台分,中,テーブル２台分の納品書が入荷時見当たりませんでした。;テーブル２台分の納品書を頂けないでしょうか。,会議用テーブル／ミーティングテーブル
120cmハンガーラック;ガス管ハンガーラック,事務担当,不明,4,ご利用について,5,注文したい商品が見当たらない、注文番号が分からない,指定の注文番号の商品が見当たらないため購入方法を確認したい,注文番号の商品が見当たらない,商品検索,商品番号で検索しても対象商品が表示されない/見つけられない,商品番号検索で商品が表示されない,中,サイト内検索,注文前,有限会社インスパイア;川村;取り置き;61-93-7-2;120cm;ハンガーラック;2点;61-797-88;61-651-45o;各3点;商品が見当たりません;61-779-38-2;ガス管ハンガーラック;棚板オプション;商品ページ;詳細,中,商品が見当たりません。;ご確認よろしくお願いします。,ハンガーラック
不明,不明,不明,9,カタログ・DMについて,1,カタログを止めてほしい,カタログ送付の停止を依頼したい,カタログ送付停止の依頼,カタログ送付停止,なし,なし,中,不明,不明,カタログ;送付停止,中,カタログの送付を停止してください。,不明
木製プランターボックス ラスティック柄〔ストエキオリジナル〕,不明,ストエキ（公式サイト）,1,商品単品の仕様について,8,その他商品について,木製プランターボックスの木目メラミン仕上げの実物サンプル提供可否を確認したい,木目メラミン実物サンプル依頼,サンプル提供可否確認,なし,なし,低,不明,注文前,新規オフィス移転;木製プランターボックス;ラスティック柄;ストエキオリジナル;仕上げ面;木目メラミン;実物サンプル;小さいサイズ,低,小さいサイズでも構いませんので、該当のサンプルをご提供いただけることは可能でしょか,プランターボックス 間仕切り
不明,不明,不明,3,注文について,6,配送先の変更,配送先住所の建物名が入力制限で入らないため、正しい建物名を連絡して反映してほしい,建物名が長く住所変更依頼,配送先変更,住所（建物名）の入力文字数制限で全て入力できない,建物名が15文字以内制限で入らない,低,配送先の登録,注文時,届け先;建物名;15文字以内;入力制限;埼玉県越谷市;レイクタウンアウトレット;1st Ave.;1216;AZENC LakeTown Koshigaya,中,届け先の建物名が長く15文字以内に収まらなかった為ご連絡させていただきました。;下記の通りお願いいたします。,不明
不明,不明,不明,6,納期について,10,到着時間指定の希望（ご注文後）,配送の到着時間を19時以降に指定したい,到着時間を19時以降に指定,到着時間指定,なし,なし,中,注文履歴詳細,配送前,時間指定;19時以降,中,時間指定お願いします;19時以降希望です,不明
不明,不明,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,領収書を発行してほしい,領収書の発行を依頼,領収書発行,なし,なし,中,注文履歴詳細,帳票発行時,領収書,低,領収書が欲しいです。,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,誤って注文したため一旦キャンセルして再注文したい,誤発注のためキャンセルし再注文,キャンセル,なし,なし,中,注文履歴詳細,注文後,昨日注文;奥行き;あやまって注文;一旦キャンセル;再度注文,中,昨日注文させて頂きました商品の奥行きをあやまって注文しておりました。 一旦キャンセルさせていただいで再度注文死なしたいです。,不明
不明,不明,不明,4,ご利用について,1,ログインできない,セキュアキー問題でログインできないため解決したい,セキュアキーでログイン不可,ログイン,セキュアキーに問題がある旨が表示されログインできない;ログアウトを促されるが画面に反映されない,セキュアキーエラーとログアウト未反映,中,ログイン/マイページ,不明,セキュアキー;ログインできません;ログアウト;反映されない,中,セキュアキーに問題があるとでて ログインができません。;ログアウトをしてくださいと出るが 画面上に反映されないので 確認お願い致します。,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,サイズ変更のため注文を一旦キャンセルしたい,サイズ変更のためキャンセル希望,キャンセル,なし,なし,中,注文履歴詳細,注文後,サイズ変更;キャンセル,中,サイズ変更したいので いったんキャンセルをお願い致します。,不明
不明,不明,不明,9,カタログ・DMについて,1,カタログを止めてほしい,カタログ送付停止と退会を依頼したい,カタログ停止と退会希望,カタログ停止;退会手続き,なし,なし,中,不明,不明,担当者死亡;カタログ送付停止;退会希望,中,担当者死亡の為 カタログ送付停止と退会希望,不明
不明,不明,不明,4,ご利用について,14,退会したい,会員登録を解除（退会）したい,会員登録解除の依頼,退会,なし,なし,中,ログイン/マイページ,不明,担当部署から移動;今後利用しません;会員登録解除,中,担当部署から移動になったので今後利用しません。;会員登録解除をお願いします,不明
フック,不明,不明,3,注文について,4,注文のキャンセル,入荷待ち商品のキャンセルを依頼したい,入荷待ち分のキャンセル依頼,キャンセル,なし,なし,中,注文履歴詳細,注文後,入荷待ち;キャンセル;別納品;フック;急いでいる,高,入荷待ち商品をキャンセルお願いします。;フックが急いでいる。,有孔ボードフック
フック,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,キャンセル不可の場合に別納品で早く受け取りたい,別納品で早期納品したい,納期確認,別納品可否や手続きが分からない,別納品の可否・手順が不明,低,注文履歴詳細,注文後,入荷待ち;別納品;フック;急いでいる,高,キャンセルできない場合、別納品でお願いします。;フックが急いでいる。,有孔ボードフック
不明,不明,不明,3,注文について,4,注文のキャンセル,全商品の注文キャンセルを依頼したい,全商品キャンセルの依頼,キャンセル,なし,なし,中,注文履歴詳細,注文後,全商品;キャンセル,中,恐れ入りますが、全商品をキャンセルお願いします。,不明
不明,不明,不明,4,ご利用について,6,支払方法の種類について,支払い方法をカード払いに変更したい,カード払いへ変更可否確認,支払方法変更,支払方法変更手順が分からない,カード払い変更方法が不明,中,ご利用ガイド（お支払いについて）,支払時,支払い;カード払い;変更;できますか,低,こちらの支払いを、カード払いにしたいのですが、できますか？,不明
不明,現場施工者,不明,6,納期について,6,納期変更（ご注文後）-納期指定したが変更したい,指定済み納期を最短に前倒し変更したい,14日着指定を最短へ変更,納期変更,なし,なし,低,注文履歴詳細,注文後,14日着;最短;お届け;変更;内装工事;2点,中,14日着のお届けで指定させていただいておりますが、早めて最短のお届けに変更は可能でしょうか。,不明
不明,事務担当,不明,3,注文について,1,注文内容の確認,交換対応で渡し忘れた10枚の対処方法を確認したい,交換時の10枚不足の対処確認,交換対応・不足対応確認,なし,なし,低,不明,配送後,良品交換;倉庫;交換;10枚;渡しそびれ;対処;確認,中,「倉庫より、交換の際に10枚渡しそびれたとの連絡がありました。」;「こちらについてはどのように対処すればよいでしょうか。」,不明
不明,不明,不明,4,ご利用について,11,顧客登録情報の変更希望,クレジットカード情報（有効期限）を更新したい,カード有効期限の更新方法,クレジットカード情報確認,カード情報更新手順・導線が分からない,カード更新の導線が不明,中,クレジットカード情報確認,支払時,クレジットカード;有効期限;更新;削除;新規登録;新規登録フォーム,中,クレジットカードの有効期限が切れていた為、更新したいがわからず;新規登録フォームがどこにあるのかわかりません,不明
カタログ,不明,不明,9,カタログ・DMについて,1,カタログを止めてほしい,カタログ発送の停止を依頼したい,カタログ送付停止の依頼,カタログ停止依頼,なし,なし,低,不明,不明,01Y-050288＃;カタログ;発送を取りやめ;退職;デイサービス,中,カタログの発送を取りやめください。,不明
不明,事務担当,不明,9,カタログ・DMについて,1,カタログを止めてほしい,前田貴子宛てのカタログ送付停止と登録解除を依頼したい,カタログ停止と登録解除依頼,カタログ停止,なし,なし,低,不明,不明,前田貴子;カタロフ;送付停止;退社;登録解除,中,弊社 前田貴子宛てで届くカタロフ送付の停止をお願いします。;本人退社しているため、登録解除もお願いします。,不明
不明,不明,不明,3,注文について,5,お客様都合による返品や交換,誤ったサイズ購入のため返品したい,サイズ違い購入の返品可否確認,返品,なし,なし,中,ご利用ガイド（キャンセル・返品・交換について）,注文後,誤ったサイズ;購入;返品,中,誤ったサイズを購入してしまったため、返品をお願いいただく事は可能でしょうか？,不明
リスタプラス 壁面タイプ,不明,不明,1,商品単品の仕様について,8,その他商品について,リスタプラス壁面タイプの脚を隠すオプション有無を確認したい,脚を隠すオプション確認,商品仕様確認,なし,なし,中,商品ページ,注文前,リスタプラス;壁面タイプ;下部;脚;隠す;オプション,低,リスタプラス壁面タイプの下部の脚を隠すためのオプションはありますか？,オプション（リスタプラス）
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,送り状ナンバーと到着時期を至急確認したい,送り状番号と納期の至急確認,配送状況確認,送り状番号の確認方法が分からない,マイページ等で追跡番号が不明,中,注文履歴詳細,注文後,送り状ナンバー;至急;いつごろ,高,送り状ナンバーを教えてください 至急欲しいです いつごろなりますか？,不明
ボトムハンガー,事務担当,不明,8,帳票について,3,見積書の発行希望,見積書に販売単位と単価の記載を依頼したい,見積書へ単価等の追記依頼,見積書発行,なし,なし,低,不明,帳票発行時,株式会社ユニクロ;グローバルマーケティング部;星野;ボトムハンガー;250本;販売単位;単価;￥60(税込);￥55(税抜);お見積書;記載,中,今回ボトムハンガー250本を注文させていただきたいのですが添付お見積書につきまして、下記の情報をご記載いただくことは可能でしょうか。;販売単位：250本 単価:￥60(税込)/￥55(税抜),ハンガー
不明,不明,不明,3,注文について,6,配送先の変更,注文済みの配送先を変更したい,お届け先変更の可否確認,配送先変更,なし,なし,中,会員情報変更,注文後,お届け先;変更;可能でしょうか,低,お届け先の変更は可能でしょうか,不明
不明,不明,不明,3,注文について,6,配送先の変更,注文済みの配送先を変更したい,配送先変更の可否確認,配送先変更,なし,なし,中,会員情報変更,注文後,お届け先;変更;可能,中,お届け先の変更は可能でしょうか,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,到着予定日を過ぎた注文の配達状況を確認したい,到着予定日の配送状況確認,納期確認,なし,なし,中,注文履歴詳細,注文後,10/01(水)到着;いつ頃届きますか,中,10/01(水)に到着との事でしたが、いつ頃届きますか?,不明
クリスマスデコレーション2025のカタログ,店舗オーナー,ストエキ（公式サイト）,9,カタログ・DMについて,2,カタログを送付してほしい,クリスマスデコレーション2025カタログを追加送付してほしい,カタログ25部の送付依頼,カタログ送付依頼,なし,なし,中,カタログ請求,不明,クリスマスデコレーション2025;カタログ;25部;12月区の補助;イベント;1660001;東京都杉並区阿佐谷北2ー13ー18;マスキビル201;NOSTYLE;0333369696,中,クリスマスデコレーション2025のカタログを25部送ってください。,クリスマス雑貨
カタログ,事務担当,不明,9,カタログ・DMについて,1,カタログを止めてほしい,カタログの送付停止を依頼したい,カタログ発送停止の依頼,カタログ停止依頼,なし,なし,低,不明,不明,カタログ;発送を停めて;ヤマハ発動機ビズパートナー株式会社;総務サービス2課;営業部 営業企画課;江塚美保子;21Y-005576#;該当部署が既に無くなった,低,お送りいただいたカタログの発送を今後停めていただきたく;該当部署が既に無くなったことに伴い、同様の商品を扱う部門が弊社には無い,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,出荷済みかどうかを確認したい,出荷予定日超過の出荷状況確認,出荷状況確認,なし,なし,中,注文履歴詳細,注文後,出荷予定日;昨日;出荷;確認,中,出荷予定日が昨日となっていましたが、出荷されているか確認いただけますですでしょうか。,不明
不明,事務担当,不明,4,ご利用について,不明,不明,オープンアカウント会員申込用紙（自動引き落とし用）の送付依頼,申込用紙（自動引落）送付依頼,お申し込みフォーム,申込用紙の入手方法が不明,自動引落用の申込用紙が見つからない,中,お申し込みフォーム,新規登録時,オープンアカウント会員;ご入会お申し込み用紙;自動引き落とし用;送付,中,オープンアカウント会員に申し込みをしたく、ご入会お申し込み用紙（「自動引き落とし用」）の送付をお願いいたします。,不明
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,相互リンク（SEO施策）の提案をしたい,相互リンク掲載の依頼,不明,なし,なし,不明,不明,不明,相互リンク;SEO;検索順位;Google;DR56;公益社;koekisha.co.jp;グループサイト;燦ホールディングス;証券コード9628;メディア掲載;終活・葬儀,低,弊社グループサイト「公益社」との相互リンクにつきましてご検討いただけませんでしょうか。;関連性あるページやサイトからリンクを受けることで、検索エンジンからの評価が上がり、検索順位の向上などSEO効果が期待できます。,不明
不明,不明,不明,6,納期について,4,納期確認（ご注文前）-在庫はいくつあるか,カート投入可否と在庫有無の関係を確認したい,カート投入＝在庫有無確認,在庫確認,在庫表示の意味が分からない,カート投入可否が在庫を示すか不明,中,カート,注文前,商品在庫;カートに入れられた;在庫があるという認識,低,「カートに入れられたということは在庫があるという認識でよろしいでしょうか。」,不明
不明,不明,不明,4,ご利用について,14,退会したい,閉局のため登録削除（退会）したい,閉局に伴う登録削除依頼,退会,なし,なし,中,ログイン/マイページ,不明,薬局閉局;登録削除;退会,中,薬局閉局にともない登録削除の依頼,不明
不明,事務担当,不明,8,帳票について,1,領収書の発行希望（インボイス目的以外）,領収書を発行してほしい,領収書を発行できるか確認,帳票発行,なし,なし,中,注文履歴詳細,帳票発行時,納品書;領収書,低,納品書は品物と一緒に入ってましたが領収書はだすことできますか？,不明
